conc_parties,company_id,company_date,company_name,company_person_name,pep_menbership_role,pep_organization_name
"Afritex Gemas, Lda ",58848,04 de Março de 2013,"Afritex Gemas, Limitada",Ângelo António da Costa,,
AGRI ORGANIC MINING & MARKETING DEVELOPMENT.,26703,10 de Agosto de 2006,Agri Organic Mining & Marketing Development,Nazir Shivji,,
AGRI ORGANIC MINING & MARKETING DEVELOPMENT.,26703,10 de Agosto de 2006,Agri Organic Mining & Marketing Development,Salim Rafi Ahomed,,
"AGRIVIN Investimentos, Lda",47620,21 de Abril de 2011,"Agrivin, Investimentos, Limitada",António Jorge do Rosário Grispos,,
"AGRIVIN Investimentos, Lda",47620,21 de Abril de 2011,"Agrivin, Investimentos, Limitada",Cidália de Natividade Nhampule Soto,,
"AGRIVIN Investimentos, Lda",47620,21 de Abril de 2011,"Agrivin, Investimentos, Limitada",Johane Francisco Chibaio Zonjo,,
"Agro ITNOA, Lda ",45964,23 de Dezembro de 2010,"Agro - Itnoa, Limitada",Afzal Abdul Popathiya,,
"Agro-Promotora de Nampula, Lda",18598,05 de Junho de 2003,"Agro-Promotora de Nampula, Limitada",Alexandre Tavares Baptista Braga,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Armindo Zefanias Boa,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Catarina Claúdia Matias Mboa,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Claudina Ivete Salomão Boa,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Enzo Matias Ferrão,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Mahomed Salim Abdul Carimo Omar,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Matias Zefanias Boa,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Paulo Sérgio Henriques Ferrão,,
"Água Boa, Limitada",25551,04 de Maio de 2006,"Água Boa, Limitada",Sara Elsa Matias Mboa,,
"Água do Vengo, Lda",40997,,"Água do Vengo, Limitada",Firoza Hassamo,,
"Água do Vengo, Lda",40997,,"Água do Vengo, Limitada",Mahomed Chaid Daud,,
"Água do Vengo, Lda",40997,,"Água do Vengo, Limitada",Mahomed Daud,,
"Água do Vengo, Lda",40997,,"Água do Vengo, Limitada",Maria José Isak,,
"Água do Vengo, Lda",40997,,"Água do Vengo, Limitada",Muhammad Farhaan Daud,,
"Água do Vengo, Lda",40997,,"Água do Vengo, Limitada",Nurmamade Daud,,
"Águas da Serra da Mesa, Limitada",20877,12 de Março de 2004,"Águas da Serra da Mesa, Limitada",Abdul Agij Jussub,,
"Águas da Serra da Mesa, Limitada",20877,12 de Março de 2004,"Águas da Serra da Mesa, Limitada",Mahomed Arafat,,
"Águas da Serra da Mesa, Limitada",20877,12 de Março de 2004,"Águas da Serra da Mesa, Limitada",Mahomed Ayob Abdul Agij,,
"Aims International, Limitada",42830,21 de Setembro de 2010,"Aims International, Limitada",Chitiksha Mukesh Shah,,
"Aims International, Limitada",42830,21 de Setembro de 2010,"Aims International, Limitada",Emile Ibrahim Khoury,,
"Aims International, Limitada",42830,21 de Setembro de 2010,"Aims International, Limitada",Ibrahim Emile Khouri,,
"Aims International, Limitada",42830,21 de Setembro de 2010,"Aims International, Limitada",Kanwal Kishore Vaswani,,
"Aims International, Limitada",42830,21 de Setembro de 2010,"Aims International, Limitada",Pooja Shah,,
"Alexandre e Marcio, Lda",45965,25 de Maio de 2010,"Alexandre e Marcio, Limitada",José Alexandre Mesquita Teixeira,,
"Alexandre e Marcio, Lda",45965,25 de Maio de 2010,"Alexandre e Marcio, Limitada",Marcio Fernando Ferreira,,
"AMAROK MOÇAMBIQUE, LTD ",54686,18 de Setembro de 2012,"Amarok Moçambique, Limitada",Marisa Paloma Branco Rola Tomé,,
"Amber Industrial, Lda (0,00%)",56946,05 de Fevereiro de 2013,"Amber Industrial, Limitada",Fangbao Yang,,
"Amber Industrial, Lda (0,00%)",56946,05 de Fevereiro de 2013,"Amber Industrial, Limitada",Fuchang Yu,,
"Ami International, Limitada",44794,14 de Outubro de 2010,"Ami International, Limitada",Chitiksha Mukesh Shah,,
"Ami International, Limitada",44794,14 de Outubro de 2010,"Ami International, Limitada",Emile Ibrahim Khoury,,
"Ami International, Limitada",44794,14 de Outubro de 2010,"Ami International, Limitada",Ibrahim Emile Khouri,,
"Ami International, Limitada",44794,14 de Outubro de 2010,"Ami International, Limitada",Kanwal Kishore Vaswani,,
"Ami International, Limitada",44794,14 de Outubro de 2010,"Ami International, Limitada",Pooja Shah,,
"Angy Minas, Lda ",71897,05 de Novembro de 2014,Angy Minas Limitada,Ana Maria Galhardo Naiene,,
"Angy Minas, Lda ",71897,05 de Novembro de 2014,Angy Minas Limitada,Angelica Queti Pereira Mulungo,,
"Angy Minas, Lda ",71897,05 de Novembro de 2014,Angy Minas Limitada,Cármen Galhardo Vicente Naiene,,
"Angy Minas, Lda ",71897,05 de Novembro de 2014,Angy Minas Limitada,Leocádia A. Galhardo Naiene,,
"Angy Minas, Lda ",71897,05 de Novembro de 2014,Angy Minas Limitada,Mariza Galhardo Vicente Naiene,,
"Anvers Comercio e Servicos, lda ",40283,15 de Fevereiro de 2010,"Anvers Comércio e Serviços,Limitada",Fadi Ahmad Omeis,,
"Anvers Comercio e Servicos, lda ",46264,25 de Janeiro de 2011,"Anvers Comércio e Serviços, Limitada",Hashem Fakih,,
"Anvers Comercio e Servicos, lda ",40283,15 de Fevereiro de 2010,"Anvers Comércio e Serviços,Limitada",Lina Ahmed,,
"Anvers Comercio e Servicos, lda ",40283,15 de Fevereiro de 2010,"Anvers Comércio e Serviços,Limitada",Mohamed Fakih,,
"Anvers Comercio e Servicos, lda ",40283,15 de Fevereiro de 2010,"Anvers Comércio e Serviços,Limitada",Moujtaba Fakih,,
"AP - GEMAS, LDA ",61747,17 de Julho de 2013,"AP - Gemas, Limitada",Armando da Rocha Ambrósio,,
"AP - GEMAS, LDA ",61747,17 de Julho de 2013,"AP - Gemas, Limitada",Nir Avraham Papo,,
"Aparicios, Lda",10501,24 de Novembro de 1998,"Aparícios, Limitada",José Cândido Arantes Pinto Sobreiro,,
"API - Investimentos, lda ",57867,16 de Fevereiro de 2012,"Api Investimentos, Limitada",Paulino Macarringue,,
"Apollo Investment Group, Limitada ",40602,09 de Março de 2010,"Apollo Investment Group, Limitada",Hélio Luís Manuel Cumbi,,
"AQUAGEST, LDA",23646,26 de Outubro de 2005,"Aquagest, Limitada",Ramiro Timóteo Mangane,,
"AQUAGEST, LDA",23646,26 de Outubro de 2005,"Aquagest, Limitada",Vicente Arsénio James Humbane,,
"Arcadia Mineração, Limitada",46404,06 de Abril de 2011,"Arcádia Mineração, Limitada",Lourenço Eduardo Alberto Macia,,
"Arcadia Mineração, Limitada",54355,05 de Julho de 2012,"Arcádia Mineração, Limitada",Rui Monteiro,,
"Archon Mozambique Investments, Lda",31066,17 de Março de 2008,"Archon Mozambique Investments, Limitada",Agostinho Ussore,,
Arcus Consultores Lda ,14625,05 de Outubro de 1998,"Arcus Consultores, Limitada",Arnaldo Ernesto Simango,,
Arcus Consultores Lda ,15950,27 de Março de 2002,"Arcus Consultores, Limitada",Arnaldo Ernesto Simango Júnior,,
Arcus Consultores Lda ,14625,05 de Outubro de 1998,"Arcus Consultores, Limitada",Árcio Ercles Arnaldo Simango,,
"Areeiro do Sul, Lda",12555,30 de Março de 2000,"Areeiro do Sul, Limitada",Egas Moniz Maria do Carmo Rafael Mussanhane,,
"Areeiro do Sul, Lda",12555,30 de Março de 2000,"Areeiro do Sul, Limitada",Maria Manuela Grande Oliveira,,
"Areeiro Kanimambo, Lda",41870,15 de Abril de 2009,"Areeiro Kanimambo, Limitada",Bendita Miguel,,
"Areeiro Kanimambo, Lda",41870,15 de Abril de 2009,"Areeiro Kanimambo, Limitada",Stélio Cardoso,,
"Areeiro Loforte, Lda (0,00%)",43006,14 de Setembro de 2010,"Areeiro, Loforte, Limitada",António José Lopes Pimenta,,
"Areeiro Loforte, Lda (0,00%)",43006,14 de Setembro de 2010,"Areeiro, Loforte, Limitada",Maria Luciana Dungana Loforte,,
"Areeiro Loforte, Lda (0,00%)",43006,14 de Setembro de 2010,"Areeiro, Loforte, Limitada",Paulo António Manala,,
"Areeiro Loforte, Lda (0,00%)",43006,14 de Setembro de 2010,"Areeiro, Loforte, Limitada",Verónica Sebastião Chongo Manala,,
"Arenitos, Lda ",59068,22 de Março de 2013,"Arenitos, Limitada",Jacinto Salimo Mussá,,
"Arenitos, Lda ",59068,22 de Março de 2013,"Arenitos, Limitada",Orlando Jamarques Avelino Nhampule,,
"Asia Minerals Moçambique, Limitada",37147,02 de Julho de 2009,"Asia Minerals Moçambique, Limitada",Schalk Van Der Merwe,,
"Astro Industrial, Lda",21196,07 de Dezembro de 2004,"Astro Industrial, Limitada",Ambeen Salim,,
"Astro Industrial, Lda",23255,28 de Setembro de 2005,"Astro Industrial, Limitada",Amnabay Harun,,
"Astro Industrial, Lda",21196,07 de Dezembro de 2004,"Astro Industrial, Limitada",Annabay Harun,,
"Astro Industrial, Lda",23255,28 de Setembro de 2005,"Astro Industrial, Limitada",Feroz Ali Mahomed,,
"Astro Industrial, Lda",23255,28 de Setembro de 2005,"Astro Industrial, Limitada",Hanifa Ismail,,
"Astro Industrial, Lda",38227,04 de Agosto de 2009,"Astro Industrial, Limitada",Mahebub Ramjamali Hemnani,,
"Astro Industrial, Lda",38227,04 de Agosto de 2009,"Astro Industrial, Limitada",Mahir Mahebub Hemnani,,
"Astro Industrial, Lda",38227,04 de Agosto de 2009,"Astro Industrial, Limitada",Malika Mahebub Hemnani,,
"Astro Industrial, Lda",21196,07 de Dezembro de 2004,"Astro Industrial, Limitada",Parvin Banu Jusob Mahomed,,
Atlantic Investimentos Internacional Limitada,25439,02 de Junho de 1998,"Atlantic Investimentos Internacional, Limitada",Dror Besserglik,,
Atlantic Investimentos Internacional Limitada,25439,02 de Junho de 1998,"Atlantic Investimentos Internacional, Limitada",Oded Besserglik,,
"Ayleek Indústria, Limitada",24347,,"Ayleek Indústria, Limitada",Gulamo Ali Cassamo,,
"Ayleek Indústria, Limitada",24347,,"Ayleek Indústria, Limitada",Mohomed Assif Osman,,
"AZA, LDA ",33600,03 de Outubro de 2008,"Aza, Limitada",Adelaide Anchia Amurane,,
"AZA, LDA ",33600,03 de Outubro de 2008,"Aza, Limitada",Adelaide Matene Bimba,,
"AZA, LDA ",33600,03 de Outubro de 2008,"Aza, Limitada",Amina Malia de Fátima Horta,,
"AZA, LDA ",33600,03 de Outubro de 2008,"Aza, Limitada",Zaina Ronia de Fátima Horta,,
"Belde, Empreendimentos Mineiros, Lda",37228,11 de Agosto de 2009,"Belde Empreendimentos Mineiros, Limitada",Ashish Kumar,,
"Belde, Empreendimentos Mineiros, Lda",23799,15 de Dezembro de 2005,"Belde, Empreendimentos Mineiros, Limitada",Calvyn Gardner,,
"Belde, Empreendimentos Mineiros, Lda",23799,15 de Dezembro de 2005,"Belde, Empreendimentos Mineiros, Limitada",Carl Leslie Slade,,
"Belde, Empreendimentos Mineiros, Lda",23799,15 de Dezembro de 2005,"Belde, Empreendimentos Mineiros, Limitada",Gerrit Pieter Kruger,,
"Belde, Empreendimentos Mineiros, Lda",23799,15 de Dezembro de 2005,"Belde, Empreendimentos Mineiros, Limitada",Isabel Maria Verde,,
"Belde, Empreendimentos Mineiros, Lda",23799,15 de Dezembro de 2005,"Belde, Empreendimentos Mineiros, Limitada",Larry Edwin Neuhoff,,
"Belde, Empreendimentos Mineiros, Lda",37228,11 de Agosto de 2009,"Belde Empreendimentos Mineiros, Limitada",Manoj Kumar Gupta,,
"Belde, Empreendimentos Mineiros, Lda",33129,28 de Agosto de 2008,"Belde Empreendimentos Mineiros, Limitada",Manoj Kumar Vasudev Sompura,,
"Belde, Empreendimentos Mineiros, Lda",37228,11 de Agosto de 2009,"Belde Empreendimentos Mineiros, Limitada",Rajesh Bhatia,,
"Belde, Empreendimentos Mineiros, Lda",33129,28 de Agosto de 2008,"Belde Empreendimentos Mineiros, Limitada",Sohel Ibrahimo Isop,,
"BENGALA MINAS, LIMITADA (0,00%)",57087,13 de Fevereiro de 2013,"Bengala Minas, Limitada",Dércio Fernando António,,
"Bhala Ussokoti, Sociedade Unipessoal, Limitada ",58028,07 de Março de 2013,"Bhala Ussokoti - Sociedade Unipessoal, Limitada",Valor Fragoso Mandlate,,
"BHW COMPANY, LTD",54322,30 de Março de 2012,"BHW Company, Limitada",Dongying Wang,,
"BHW COMPANY, LTD",35415,23 de Março de 2009,"BHW Company, Limitada",Hui Sun,,
"BHW COMPANY, LTD",35415,23 de Março de 2009,"BHW Company, Limitada",Liang feng,,
"BHW COMPANY, LTD",54322,30 de Março de 2012,"BHW Company, Limitada",Qingtao Yang,,
"Biao Ge, Sociedade Unipessoal, Limitada",42659,02 de Junho de 2010,"Biao Ge, Sociedade Unipessoal, Limitada",Jianbiao Zhu,,
"BILASCO TRADING COMPANY, LIMITADA ",39935,12 de Fevereiro de 2010,"Bilasco Trading Company, Limitada",Ali Mohamad Yahfoufi,,
"BILASCO TRADING COMPANY, LIMITADA ",46068,18 de Abril de 2011,"Bilasco Trading Company, Limitada",Hussein Youssef Soueid,,
"BILASCO TRADING COMPANY, LIMITADA ",39935,12 de Fevereiro de 2010,"Bilasco Trading Company, Limitada",Hussein Yussuf Soueid,,
"BILASCO TRADING COMPANY, LIMITADA ",46068,18 de Abril de 2011,"Bilasco Trading Company, Limitada",Zahra Jomaa,,
"Biworld International, Limited ",22575,10 de Agosto de 2005,"Biworld International, Limited",Bo Hu,,
"Biworld International, Limited ",22575,10 de Agosto de 2005,"Biworld International, Limited",Chungang Xiao,,
"Biworld International, Limited ",22575,10 de Agosto de 2005,"Biworld International, Limited",Qingsong Zhu,,
"Black Gold Mining Moç, Limitada",21999,05 de Abril de 2005,"Black Gold Mining Moç, Limitada",Gerhard Ebenhaezer Du Plessis,,
"Black Gold Mining Moç, Limitada",21999,05 de Abril de 2005,"Black Gold Mining Moç, Limitada",Richard Geoffrey Wood,,
"BLACK ROCK BRIGHTLAND MINING CO, Lda ",58056,10 de Dezembro de 2012,"Black Rock Brightland Mining Co, Limitada",Bassirou Ndiaye,,
"BLACK ROCK BRIGHTLAND MINING CO, Lda ",58056,10 de Dezembro de 2012,"Black Rock Brightland Mining Co, Limitada",Conse Cisse,,
"BLACK ROCK BRIGHTLAND MINING CO, Lda ",58056,10 de Dezembro de 2012,"Black Rock Brightland Mining Co, Limitada",Deocliciano Matos Miúdo,,
"BLACK ROCK BRIGHTLAND MINING CO, Lda ",58056,10 de Dezembro de 2012,"Black Rock Brightland Mining Co, Limitada",Lingbin Kong,,
"BLACK ROCK BRIGHTLAND MINING CO, Lda ",58056,10 de Dezembro de 2012,"Black Rock Brightland Mining Co, Limitada",Ângelo de Arcanjos Messias Ferreira,,
"BLOOMGOLD MOÇAMBIQUE, LIMITADA",44198,14 de Janeiro de 2011,"Bloomgold Moçambique, Limitada",José Carlos de Aguiar Pena,,
"BLOOMGOLD MOÇAMBIQUE, LIMITADA",44198,14 de Janeiro de 2011,"Bloomgold Moçambique, Limitada",Lucília Henrique Mulungo,,
"BLOOMGOLD MOÇAMBIQUE, LIMITADA",44198,14 de Janeiro de 2011,"Bloomgold Moçambique, Limitada",Rui Carlos Victor dos Santos,,
"BOBCAT MINING, LIMITADA",21871,31 de Março de 2005,"Bobcat Mining, Limitada",Arthur Robert Hodgson,,
"BOBCAT MINING, LIMITADA",21871,31 de Março de 2005,"Bobcat Mining, Limitada",Kim Robert Hodgson,,
"Boss Trading, Lda",23098,01 de Julho de 2005,"Boss Trading, Limitada",Johan Kruger,,
"Boss Trading, Lda",23098,01 de Julho de 2005,"Boss Trading, Limitada",Mohomed Farroq,,
"BRIMOZA, LDA",20093,14 de Maio de 2004,"Brimoza, Limitada",Mussa Mahomed Ali,,
"BRIMOZA, LDA",20093,14 de Maio de 2004,"Brimoza, Limitada",Sulemane Mamadali,,
"Broadtec Moçambique Minas, Limitada.",28820,23 de Maio de 2007,"Broadtec Moçambique Minas, Limitada",Huaguo LI,,
"Business Generation Company, Limitada ",38016,09 de Julho de 2009,"Business Generation Company, Limitada",Abílio Silvano Muianga,,
"Business Generation Company, Limitada ",38016,09 de Julho de 2009,"Business Generation Company, Limitada",Espírito Santo de Alegria Francisco Monjane,,
"Business Generation Company, Limitada ",38016,09 de Julho de 2009,"Business Generation Company, Limitada",Natércia Alexandre Chicane Mabumo,,
"CAL-X, Lda ",58959,08 de Março de 2013,"CAL-X, Limitada",Felizardo José Pinho Paulino,,
"CAL-X, Lda ",58959,08 de Março de 2013,"CAL-X, Limitada",José Mateus Muária Katupha,,
"CAL-X, Lda ",58959,08 de Março de 2013,"CAL-X, Limitada",Juscelino Vicente Tembe,,
"CAL-X, Lda ",58959,08 de Março de 2013,"CAL-X, Limitada",Mateus Aurélio Cassamo Omar de Almeida,,
"Camal e Companhia, Lda",14882,08 de Maio de 2001,"Camal e Companhia, Limitada",Amina Hassane Camal,,
"Camal e Companhia, Lda",14882,07 de Junho de 2002,"Camal e Companhia, Limitada",Cheila Camal,,
"Camal e Companhia, Lda",14882,07 de Junho de 2002,"Camal e Companhia, Limitada",Maiysha Camal,,
"Camal e Companhia, Lda",15969,07 de Junho de 2002,"Camal e Companhia, Limitada",Malik Camal,,
"Camal e Companhia, Lda",14882,07 de Junho de 2002,"Camal e Companhia, Limitada",Mayra Camal,,
"Camal e Companhia, Lda",14882,08 de Maio de 2001,"Camal e Companhia, Limitada",Nascituro,,
"Camal e Companhia, Lda",15969,07 de Junho de 2002,"Camal e Companhia, Limitada",Nasser Amade Camal Bagerro,,
"Camal e Companhia, Lda",14882,08 de Maio de 2001,"Camal e Companhia, Limitada",Nasser Amade Camal Bagorro,,
Capital Investimentos Limitada,20915,12 de Novembro de 2004,"Capital Investimentos, Limitada",Anita Lees,,
Capital Investimentos Limitada,20915,12 de Novembro de 2004,"Capital Investimentos, Limitada",Kirk Andrew Swartz,,
Capital Investimentos Limitada,20915,12 de Novembro de 2004,"Capital Investimentos, Limitada",Lucílio Lúcio Gustavo,,
"Caroeira Resources, Limitada ",36550,03 de Junho de 2009,"Caroeira Resources, Limitada",Ana Augusto Contronhar,,
"Caroeira Resources, Limitada ",36550,03 de Junho de 2009,"Caroeira Resources, Limitada",Sérgio José Camunga Pantie,,
"CARV, LDA ",54737,21 de Agosto de 2012,"Carv, Limitada",Enia Jorge Mahanjane,,
"CARV, LDA ",54737,21 de Agosto de 2012,"Carv, Limitada",Fernando Dias Namburete,,
"CARV, LDA ",54737,21 de Agosto de 2012,"Carv, Limitada",Frank Hernani Marrengula,,
"CARV, LDA ",54737,21 de Agosto de 2012,"Carv, Limitada",José Faustino Guambe,,
"Castanheira Soares Mocambique, Lda ",40714,28 de Julho de 2009,"Castanheira & Soares Moçambique, Limitada",Augusto Pereira Alves,,
"Castanheira Soares Mocambique, Lda ",41854,28 de Julho de 2009,"Castanheira & Soares Moçambique, Limitada",Emélia da Conceição Antunes Castanheira,,
"Castanheira Soares Mocambique, Lda ",40714,24 de Novembro de 2011,"Castanheira & Soares Moçambique, Limitada",Emília da Conceição Antunes Castanheira,,
"Castanheira Soares Mocambique, Lda ",40714,16 de Maio de 2012,"Castanheira & Soares-Moçambique, Limitada",Farida Ahmed,,
"Castanheira Soares Mocambique, Lda ",40714,28 de Julho de 2009,"Castanheira & Soares Moçambique, Limitada",Manuel Antunes Castanheira,,
"Castanheira Soares Mocambique, Lda ",40714,28 de Julho de 2009,"Castanheira & Soares Moçambique, Limitada",Neomésio Jaime Matusse,,
"Castanheira Soares Mocambique, Lda ",57277,16 de Maio de 2012,"Castanheira & Soares-Moçambique, Limitada",Rúben André Castanheira da Silva,,
"Castanheira Soares Mocambique, Lda ",40714,28 de Julho de 2009,"Castanheira & Soares Moçambique, Limitada",Sohel Ibrahimo Issop,,
"Cathay International Mining Co, Lda",47136,05 de Julho de 2011,"Cathay International Mining Co, Limitada",Zou Liang,,
CEMAT LIMITADA,34133,27 de Outubro de 2005,"Cemat, Limitada",Mussa Abdulai Momade,,
CEMAT LIMITADA,34133,27 de Outubro de 2005,"Cemat, Limitada",Pelagio Martins dos Santos Marques,,
Ceramica de Vila Pery Ltd,7081,27 de Dezembro de 1995,"Cerâmica de Vila Pery, Limitada",Amaro Merciano Gomes Ferreira,,
Ceramica de Vila Pery Ltd,2764,17 de Dezembro de 1990,"Cerâmica de Vila Pery, Limitada",Clotilde Ferreira Gomes de Almeida,,
Ceramica de Vila Pery Ltd,7081,27 de Dezembro de 1995,"Cerâmica de Vila Pery, Limitada",Manuel Albertino Gomes Ferreira,,
"CHICUMBANE INVESTIMENTOS, S.A. ",55725,21 de Outubro de 2012,Chicumbane Investimentos S.A.,Armando Sorte Bila,,
"CHICUMBANE INVESTIMENTOS, S.A. ",55725,21 de Outubro de 2012,Chicumbane Investimentos S.A.,Armando Sorte Bila Júnior,,
"China-Mozambique Cement Mining Development Company, Lda",47858,26 de Maio de 2011,"CHINA - Mozambique Cement & Mining Development Company, Limitada",Cong Chuanyou,,
"China-Mozambique Cement Mining Development Company, Lda",73016,23 de Setembro de 2014,"China-Mozambique Cement & Mining Development. Company, Limitada",Wu Tao,,
"CIMENTO NACIONAL,LDA ",42363,10 de Agosto de 2010,"Cimento Nacional, Limitada",Hayati Ozturk,,
"Cimentos de Tete- Sociedade Unipessoal,Limitada",29491,02 de Agosto de 2007,"Cimentos de Tete, sociedade Unipessoal, Limitada",Paulo de Assis Sarmento,,
